date,cash,stock_value,end_equity,daily_return_pct,exposure_pct,drawdown_pct,held_symbols
2025-04-10,1000000.0,0.0,1000000.0,0.0,0.0,0.0,
2025-04-11,1000000.0,0.0,1000000.0,0.0,0.0,0.0,
2025-04-14,1000000.0,0.0,1000000.0,0.0,0.0,0.0,
2025-04-15,1000000.0,0.0,1000000.0,0.0,0.0,0.0,
2025-04-16,1000000.0,0.0,1000000.0,0.0,0.0,0.0,
2025-04-17,1000000.0,0.0,1000000.0,0.0,0.0,0.0,
2025-04-18,1000000.0,0.0,1000000.0,0.0,0.0,0.0,
2025-04-21,1000000.0,0.0,1000000.0,0.0,0.0,0.0,
2025-04-22,1000000.0,0.0,1000000.0,0.0,0.0,0.0,
2025-04-23,1000000.0,0.0,1000000.0,0.0,0.0,0.0,
2025-04-24,849835.64,150069.3,999904.94,-0.0095,15.01,-0.0095,600519
2025-04-25,849835.64,149844.3,999679.94,-0.0225,14.99,-0.032,600519
2025-04-28,849835.64,149844.3,999679.94,0.0,14.99,-0.032,600519
2025-04-29,849835.64,149244.3,999079.94,-0.06,14.94,-0.092,600519
2025-04-30,849835.64,149544.3,999379.94,0.03,14.96,-0.062,600519
2025-05-06,849835.64,149864.3,999699.94,0.032,14.99,-0.03,600519
2025-05-07,849835.64,150344.3,1000179.94,0.048,15.03,0.0,600519
2025-05-08,849835.64,152663.3,1002498.94,0.2319,15.23,0.0,600519
2025-05-09,849835.64,153962.3,1003797.94,0.1296,15.34,0.0,600519
2025-05-12,849835.64,155294.3,1005129.94,0.1327,15.45,0.0,600519
2025-05-13,849835.64,153874.3,1003709.94,-0.1413,15.33,-0.1413,600519
2025-05-14,849835.64,158343.3,1008178.94,0.4452,15.71,0.0,600519
2025-05-15,849835.64,158045.3,1007880.94,-0.0296,15.68,-0.0296,600519
2025-05-16,849835.64,156257.3,1006092.94,-0.1774,15.53,-0.2069,600519
2025-05-19,849835.64,152742.3,1002577.94,-0.3494,15.23,-0.5556,600519
2025-05-20,849835.64,153444.3,1003279.94,0.07,15.29,-0.4859,600519
2025-05-21,849835.64,152941.3,1002776.94,-0.0501,15.25,-0.5358,600519
2025-05-22,849835.64,152844.3,1002679.94,-0.0097,15.24,-0.5454,600519
2025-05-23,849835.64,152104.3,1001939.94,-0.0738,15.18,-0.6188,600519
2025-05-26,849835.64,149894.3,999729.94,-0.2206,14.99,-0.838,600519
2025-05-27,849835.64,149234.3,999069.94,-0.066,14.94,-0.9035,600519
2025-05-28,849835.64,148544.3,998379.94,-0.0691,14.88,-0.972,600519
2025-05-29,849835.64,148844.3,998679.94,0.03,14.9,-0.9422,600519
2025-05-30,849835.64,147044.3,996879.94,-0.1802,14.75,-1.1207,600519
2025-06-03,849835.64,145744.3,995579.94,-0.1304,14.64,-1.2497,600519
2025-06-04,849835.64,145840.3,995675.94,0.0096,14.65,-1.2402,600519
2025-06-05,849835.64,146244.3,996079.94,0.0406,14.68,-1.2001,600519
2025-06-06,849835.64,145483.3,995318.94,-0.0764,14.62,-1.2756,600519
2025-06-09,849835.64,143455.3,993290.94,-0.2038,14.44,-1.4767,600519
2025-06-10,849835.64,142345.3,992180.94,-0.1117,14.35,-1.5868,600519
2025-06-11,849835.64,142844.3,992679.94,0.0503,14.39,-1.5373,600519
2025-06-12,849835.64,140744.3,990579.94,-0.2115,14.21,-1.7456,600519
2025-06-13,849835.64,137539.3,987374.94,-0.3235,13.93,-2.0635,600519
2025-06-16,849835.64,137073.3,986908.94,-0.0472,13.89,-2.1097,600519
2025-06-17,849835.64,137544.3,987379.94,0.0477,13.93,-2.063,600519
2025-06-18,849835.64,137344.3,987179.94,-0.0203,13.91,-2.0829,600519
2025-06-19,849835.64,137444.3,987279.94,0.0101,13.92,-2.0729,600519
2025-06-20,849835.64,137710.3,987545.94,0.0269,13.94,-2.0466,600519
2025-06-23,849835.64,136844.3,986679.94,-0.0877,13.87,-2.1325,600519
2025-06-24,849835.64,138564.3,988399.94,0.1743,14.02,-1.9619,600519
2025-06-25,988410.62,0.0,988410.62,0.0011,0.0,-1.9608,
2025-06-26,988410.62,0.0,988410.62,-0.0,0.0,-1.9608,
2025-06-27,988410.62,0.0,988410.62,-0.0,0.0,-1.9608,
2025-06-30,988410.62,0.0,988410.62,-0.0,0.0,-1.9608,
2025-07-01,988410.62,0.0,988410.62,-0.0,0.0,-1.9608,
2025-07-02,988410.62,0.0,988410.62,-0.0,0.0,-1.9608,
2025-07-03,988410.62,0.0,988410.62,-0.0,0.0,-1.9608,
2025-07-04,988410.62,0.0,988410.62,-0.0,0.0,-1.9608,
2025-07-07,988410.62,0.0,988410.62,-0.0,0.0,-1.9608,
2025-07-08,988410.62,0.0,988410.62,-0.0,0.0,-1.9608,
2025-07-09,849195.01,139492.3,988687.31,0.028,14.11,-1.9334,600519
2025-07-10,849195.01,140254.3,989449.31,0.0771,14.17,-1.8578,600519
2025-07-11,849195.01,140304.3,989499.31,0.0051,14.18,-1.8528,600519
2025-07-14,849195.01,139964.3,989159.31,-0.0344,14.15,-1.8865,600519
2025-07-15,849195.01,138704.3,987899.31,-0.1274,14.04,-2.0115,600519
2025-07-16,849195.01,138707.3,987902.31,0.0003,14.04,-2.0112,600519
2025-07-17,849195.01,139239.3,988434.31,0.0539,14.09,-1.9584,600519
2025-07-18,849195.01,141304.3,990499.31,0.2089,14.27,-1.7536,600519
2025-07-21,849195.01,141904.3,991099.31,0.0606,14.32,-1.6941,600519
2025-07-22,849195.01,144102.3,993297.31,0.2218,14.51,-1.4761,600519
2025-07-23,849195.01,145154.3,994349.31,0.1059,14.6,-1.3717,600519
2025-07-24,849195.01,146754.3,995949.31,0.1609,14.74,-1.213,600519
2025-07-25,849195.01,143104.3,992299.31,-0.3665,14.42,-1.5751,600519
2025-07-28,849195.01,141470.3,990665.31,-0.1647,14.28,-1.7372,600519
2025-07-29,849195.01,141504.3,990699.31,0.0034,14.28,-1.7338,600519
2025-07-30,849195.01,142548.3,991743.31,0.1054,14.37,-1.6302,600519
2025-07-31,849195.01,139771.3,988966.31,-0.28,14.13,-1.9057,600519
2025-08-01,849195.01,139304.3,988499.31,-0.0472,14.09,-1.952,600519
2025-08-04,849195.01,139504.3,988699.31,0.0202,14.11,-1.9322,600519
2025-08-05,849195.01,140378.3,989573.31,0.0884,14.19,-1.8455,600519
2025-08-06,849195.01,139992.3,989187.31,-0.039,14.15,-1.8838,600519
2025-08-07,849195.01,139839.3,989034.31,-0.0155,14.14,-1.8989,600519
2025-08-08,849195.01,139701.3,988896.31,-0.014,14.13,-1.9126,600519
2025-08-11,849195.01,142104.3,991299.31,0.243,14.34,-1.6743,600519
2025-08-12,991514.11,0.0,991514.11,0.0217,0.0,-1.653,
2025-08-13,991514.11,0.0,991514.11,0.0,0.0,-1.653,
2025-08-14,991514.11,0.0,991514.11,0.0,0.0,-1.653,
2025-08-15,991514.11,0.0,991514.11,0.0,0.0,-1.653,
2025-08-18,851098.55,140454.3,991552.85,0.0039,14.17,-1.6491,600519
2025-08-19,851098.55,141404.3,992502.85,0.0958,14.25,-1.5549,600519
2025-08-20,851098.55,142604.3,993702.85,0.1209,14.35,-1.4359,600519
2025-08-21,851098.55,142429.3,993527.85,-0.0176,14.34,-1.4532,600519
2025-08-22,851098.55,143999.3,995097.85,0.158,14.47,-1.2975,600519
2025-08-25,851098.55,146637.3,997735.85,0.2651,14.7,-1.0358,600519
2025-08-26,851098.55,145765.3,996863.85,-0.0874,14.62,-1.1223,600519
2025-08-27,851098.55,142404.3,993502.85,-0.3372,14.33,-1.4557,600519
2025-08-28,851098.55,142214.3,993312.85,-0.0191,14.32,-1.4745,600519
2025-08-29,851098.55,145604.3,996702.85,0.3413,14.61,-1.1383,600519
2025-09-01,851098.55,145214.3,996312.85,-0.0391,14.58,-1.177,600519
2025-09-02,851098.55,146734.3,997832.85,0.1526,14.71,-1.0262,600519
2025-09-03,851098.55,145659.3,996757.85,-0.1077,14.61,-1.1328,600519
2025-09-04,851098.55,144870.3,995968.85,-0.0792,14.55,-1.2111,600519
2025-09-05,851098.55,145904.3,997002.85,0.1038,14.63,-1.1085,600519
2025-09-08,851098.55,147727.3,998825.85,0.1828,14.79,-0.9277,600519
2025-09-09,851098.55,148104.3,999202.85,0.0377,14.82,-0.8903,600519
2025-09-10,851098.55,149805.3,1000903.85,0.1702,14.97,-0.7216,600519
2025-09-11,851098.55,149954.3,1001052.85,0.0149,14.98,-0.7068,600519
2025-09-12,851098.55,149204.3,1000302.85,-0.0749,14.92,-0.7812,600519
2025-09-15,851098.55,149114.3,1000212.85,-0.009,14.91,-0.7901,600519
2025-09-16,851098.55,147602.3,998700.85,-0.1512,14.78,-0.9401,600519
2025-09-17,851098.55,146904.3,998002.85,-0.0699,14.72,-1.0094,600519
2025-09-18,851098.55,144400.3,995498.85,-0.2509,14.51,-1.2577,600519
2025-09-19,851098.55,144401.3,995499.85,0.0001,14.51,-1.2576,600519
2025-09-22,851098.55,142939.3,994037.85,-0.1469,14.38,-1.4026,600519
