date,symbol,action,shares,price,gross,cost,score,reason
2025-04-24,600519,BUY,100,1501.1932,150119.32,45.04,61.36,偏积极观察 / 等待确认
2025-06-25,600519,SELL,100,1386.8592,138685.92,110.95,39.67,减仓或回避
2025-07-09,600519,BUY,100,1391.7385,139173.85,41.75,63.95,偏积极观察 / 等待确认
2025-08-12,600519,SELL,100,1424.3305,142433.05,113.95,43.9,减仓或回避
2025-08-18,600519,BUY,100,1403.7345,140373.45,42.11,62.11,偏积极观察 / 等待确认
2025-10-16,600519,SELL,100,1437.244,143724.4,114.98,39.43,减仓或回避
2025-10-21,600519,BUY,100,1435.7605,143576.05,43.07,63.13,偏积极观察 / 等待确认
2025-11-07,600519,SELL,100,1410.4474,141044.74,112.84,39.82,减仓或回避
2025-11-19,600519,BUY,100,1450.768,145076.8,43.52,58.37,偏积极观察 / 等待确认
2025-12-12,600519,SELL,100,1393.346,139334.6,111.47,42.73,减仓或回避
2025-12-25,600519,BUY,100,1405.7025,140570.25,42.17,59.4,偏积极观察 / 等待确认
2026-02-05,600519,SELL,100,1519.24,151924.0,121.54,43.4,减仓或回避
2026-02-12,600519,BUY,100,1500.9501,150095.01,45.03,63.54,偏积极观察 / 等待确认
2026-05-28,600519,SELL,100,1289.355,128935.5,103.15,41.9,减仓或回避
