date,cash,stock_value,end_equity,daily_return_pct,exposure_pct,drawdown_pct,held_symbols
2025-04-25,803238.22,197514.5,1000752.72,0.0753,19.74,0.0,600941
2025-04-28,803238.22,200003.5,1003241.72,0.2487,19.94,0.0,600941
2025-04-29,803238.22,201694.5,1004932.72,0.1686,20.07,0.0,600941
2025-04-30,462850.18,535183.7,998033.88,-0.6865,53.62,-0.6865,"600036,600519,600941"
2025-05-06,266010.84,738017.7,1004028.54,0.6006,73.51,-0.09,"600036,600519,600941,688981"
2025-05-07,456330.42,557060.2,1013390.62,0.9325,54.97,0.0,"600036,600519,600941"
2025-05-08,470880.9,547124.0,1018004.9,0.4553,53.74,0.0,"600036,600519,600941"
2025-05-09,269547.01,755924.1,1025471.11,0.7334,73.71,0.0,"300750,600036,600519,600941"
2025-05-12,273581.63,761242.4,1034824.03,0.9121,73.56,0.0,"300750,600036,600519,600941"
2025-05-13,244646.58,791970.0,1036616.58,0.1732,76.4,0.0,"002230,300750,600036,600519,600941"
2025-05-14,248791.08,796658.3,1045449.38,0.8521,76.2,0.0,"002230,300750,600036,600519,600941"
2025-05-15,273836.86,767666.1,1041502.96,-0.3775,73.71,-0.3775,"002230,600036,600519,600941"
2025-05-16,269164.48,766857.1,1036021.58,-0.5263,74.02,-0.9018,"002230,600036,600519,600941"
2025-05-19,265038.68,767153.8,1032192.48,-0.3696,74.32,-1.2681,"002230,600036,600519,600941"
2025-05-20,265038.68,771762.8,1036801.48,0.4465,74.44,-0.8272,"002230,600036,600519,600941"
2025-05-21,269742.92,762707.8,1032450.72,-0.4196,73.87,-1.2434,"002230,600036,600519,600941"
2025-05-22,265100.56,770299.8,1035400.36,0.2857,74.4,-0.9612,"002230,600036,600519,600941"
2025-05-23,269241.07,759011.1,1028252.17,-0.6904,73.82,-1.645,"002230,600036,600519,600941"
2025-05-26,235790.62,784315.0,1020105.62,-0.7923,76.89,-2.4242,"002230,300750,600036,600519,600941"
2025-05-27,239860.2,779096.3,1018956.5,-0.1126,76.46,-2.5341,"002230,300750,600036,600519,600941"
2025-05-28,272586.09,742571.9,1015157.99,-0.3728,73.15,-2.8975,"300750,600036,600519,600941"
2025-05-29,276645.69,736538.2,1013183.89,-0.1945,72.7,-3.0863,"300750,600036,600519,600941"
2025-05-30,276645.69,736464.2,1013109.89,-0.0073,72.69,-3.0934,"300750,600036,600519,600941"
2025-06-03,272589.92,744355.9,1016945.82,0.3786,73.2,-2.7264,"300750,600036,600519,600941"
2025-06-04,276684.48,740627.2,1017311.68,0.036,72.8,-2.6914,"300750,600036,600519,600941"
2025-06-05,276684.48,744026.2,1020710.68,0.3341,72.89,-2.3663,"300750,600036,600519,600941"
2025-06-06,276684.48,742831.0,1019515.48,-0.1171,72.86,-2.4806,"300750,600036,600519,600941"
2025-06-09,276684.48,734678.0,1011362.48,-0.7997,72.64,-3.2605,"300750,600036,600519,600941"
2025-06-10,280830.98,725975.3,1006806.28,-0.4505,72.11,-3.6963,"300750,600036,600519,600941"
2025-06-11,280830.98,735524.3,1016355.28,0.9484,72.37,-2.7829,"300750,600036,600519,600941"
2025-06-12,273959.42,736798.7,1010758.12,-0.5507,72.9,-3.3183,"002230,600036,600519,600941"
2025-06-13,278172.86,729845.0,1008017.86,-0.2711,72.4,-3.5804,"002230,600036,600519,600941"
2025-06-16,278172.86,733879.0,1012051.86,0.4002,72.51,-3.1946,"002230,600036,600519,600941"
2025-06-17,278172.86,733868.0,1012040.86,-0.0011,72.51,-3.1956,"002230,600036,600519,600941"
2025-06-18,278172.86,733057.0,1011229.86,-0.0801,72.49,-3.2732,"002230,600036,600519,600941"
2025-06-19,250891.34,756094.6,1006985.94,-0.4197,75.08,-3.6791,"002230,600036,600519,600941,688981"
2025-06-20,246203.96,759813.6,1006017.56,-0.0962,75.53,-3.7718,"002230,600036,600519,600941,688981"
2025-06-23,241636.63,768530.6,1010167.23,0.4125,76.08,-3.3748,"002230,600036,600519,600941,688981"
2025-06-24,230846.53,787380.2,1018226.73,0.7978,77.33,-2.6039,"002230,600036,600519,600941,688981"
2025-06-25,421642.23,603248.0,1024890.23,0.6544,58.86,-1.9665,"002230,600036,600941"
2025-06-26,625538.86,401843.0,1027381.86,0.2431,39.11,-1.7282,"600036,600941"
2025-06-27,630013.03,387870.3,1017883.33,-0.9245,38.11,-2.6368,"600036,600941"
2025-06-30,610680.18,406711.3,1017391.48,-0.0483,39.98,-2.6838,"600036,600941"
2025-07-01,621443.9,398294.7,1019738.6,0.2307,39.06,-2.4593,"600036,600941"
2025-07-02,625803.19,394815.0,1020618.19,0.0863,38.68,-2.3752,"600036,600941"
2025-07-03,221230.7,804986.2,1026216.9,0.5486,78.44,-1.8396,"300750,600036,600941,688981"
2025-07-04,242541.31,788585.7,1031127.01,0.4785,76.48,-1.37,"300750,600036,600941,688981"
2025-07-07,238359.19,789818.0,1028177.19,-0.2861,76.82,-1.6521,"300750,600036,600941,688981"
2025-07-08,213059.51,821457.2,1034516.71,0.6166,79.4,-1.0457,"300750,600036,600941,688981"
2025-07-09,250730.66,786799.4,1037530.06,0.2913,75.83,-0.7575,"300750,600036,600519,600941,688981"
2025-07-10,250730.66,790366.4,1041097.06,0.3438,75.92,-0.4163,"300750,600036,600519,600941,688981"
2025-07-11,255247.79,788704.7,1043952.49,0.2743,75.55,-0.1432,"300750,600036,600519,600941,688981"
2025-07-14,259592.9,781430.4,1041023.3,-0.2806,75.06,-0.4234,"300750,600036,600519,600941,688981"
2025-07-15,250868.45,786740.4,1037608.85,-0.328,75.82,-0.75,"300750,600036,600519,600941,688981"
2025-07-16,259627.59,774946.4,1034573.99,-0.2925,74.9,-1.0403,"300750,600036,600519,600941,688981"
2025-07-17,250912.15,785831.4,1036743.55,0.2097,75.8,-0.8327,"300750,600036,600519,600941,688981"
2025-07-18,259773.19,782013.4,1041786.59,0.4864,75.06,-0.3504,"300750,600036,600519,600941,688981"
2025-07-21,259773.19,787237.4,1047010.59,0.5014,75.19,0.0,"300750,600036,600519,600941,688981"
2025-07-22,364401.16,685968.5,1050369.66,0.3208,65.31,0.0,"002230,300750,600036,600941,688981"
2025-07-23,256989.11,795028.6,1052017.71,0.1569,75.57,0.0,"002230,300750,600036,600941,688981"
2025-07-24,256989.11,798809.6,1055798.71,0.3594,75.66,0.0,"002230,300750,600036,600941,688981"
2025-07-25,234115.51,828695.8,1062811.31,0.6642,77.97,0.0,"002230,300750,600036,600941,688981"
2025-07-28,367081.75,690523.2,1057604.95,-0.4899,65.29,-0.4899,"002230,300750,600036,600941,688981"
2025-07-29,367081.75,691290.2,1058371.95,0.0725,65.32,-0.4177,"002230,300750,600036,600941,688981"
2025-07-30,395473.72,653911.0,1049384.72,-0.8492,62.31,-1.2633,"002230,300750,600036,600941,688981"
2025-07-31,368162.41,673297.2,1041459.61,-0.7552,64.65,-2.009,"002230,300750,600036,600941,688981"
2025-08-01,372501.72,665102.5,1037604.22,-0.3702,64.1,-2.3717,"002230,300750,600036,600941,688981"
2025-08-04,230248.66,816343.4,1046592.06,0.8662,78.0,-1.5261,"002230,300750,600036,600941,688981"
2025-08-05,230248.66,818225.4,1048474.06,0.1798,78.04,-1.349,"002230,300750,600036,600941,688981"
2025-08-06,221032.4,827738.5,1048770.9,0.0283,78.92,-1.3211,"002230,300750,600036,688981"
2025-08-07,221032.4,825210.5,1046242.9,-0.241,78.87,-1.5589,"002230,300750,600036,688981"
2025-08-08,221032.4,810829.5,1031861.9,-1.3745,78.58,-2.912,"002230,300750,600036,688981"
2025-08-11,221032.4,813170.5,1034202.9,0.2269,78.63,-2.6918,"002230,300750,600036,688981"
2025-08-12,221032.4,814532.5,1035564.9,0.1317,78.66,-2.5636,"002230,300750,600036,688981"
2025-08-13,216712.51,826023.2,1042735.71,0.6925,79.22,-1.8889,"002230,300750,600036,688981"
2025-08-14,233813.11,811983.7,1045796.81,0.2936,77.64,-1.6009,"002230,300750,600036,600941"
2025-08-15,422295.48,621230.6,1043526.08,-0.2171,59.53,-1.8145,"002230,600036,600941"
2025-08-18,282571.7,764863.6,1047435.3,0.3746,73.02,-1.4467,"002230,600036,600519,600941"
2025-08-19,282571.7,762306.6,1044878.3,-0.2441,72.96,-1.6873,"002230,600036,600519,600941"
2025-08-20,282571.7,768617.6,1051189.3,0.604,73.12,-1.0935,"002230,600036,600519,600941"
2025-08-21,287628.58,768118.6,1055747.18,0.4336,72.76,-0.6647,"002230,600036,600519,600941"
2025-08-22,287628.58,774783.6,1062412.18,0.6313,72.93,-0.0376,"002230,600036,600519,600941"
2025-08-25,709468.3,355437.3,1064905.6,0.2347,33.38,0.0,"002230,600519"
2025-08-26,709468.3,353965.3,1063433.6,-0.1382,33.29,-0.1382,"002230,600519"
2025-08-27,510292.26,550876.3,1061168.56,-0.213,51.91,-0.3509,"002230,600519,688981"
2025-08-28,316521.16,784807.1,1101328.26,3.7845,71.26,0.0,"002230,300750,600519,688981"
2025-08-29,276510.24,835702.3,1112212.54,0.9883,75.14,0.0,"002230,300750,600519,600941,688981"
2025-09-09,282433.09,813435.7,1095868.79,-1.4695,74.23,-1.4695,"002230,300750,600519,600941,688981"
2025-09-10,277390.52,821627.7,1099018.22,0.2874,74.76,-1.1863,"002230,300750,600519,600941,688981"
2025-09-11,277390.52,840076.7,1117467.22,1.6787,75.18,0.0,"002230,300750,600519,600941,688981"
2025-09-12,288302.48,825599.7,1113902.18,-0.319,74.12,-0.319,"002230,300750,600519,600941,688981"
2025-09-15,331552.8,796007.6,1127560.4,1.2262,70.6,0.0,"300750,600519,600941,688981"
2025-09-16,331552.8,795148.6,1126701.4,-0.0762,70.57,-0.0762,"300750,600519,600941,688981"
2025-09-17,331552.8,823332.6,1154885.4,2.5015,71.29,0.0,"300750,600519,600941,688981"
2025-09-18,553395.95,602511.1,1155907.05,0.0885,52.12,0.0,"600519,600941,688981"
2025-09-19,565678.53,589939.1,1155617.63,-0.025,51.05,-0.025,"600519,600941,688981"
2025-09-22,324452.87,842761.1,1167213.97,1.0035,72.2,0.0,"002230,600519,600941,688981"
