date,cash,stock_value,end_equity,daily_return_pct,exposure_pct,drawdown_pct,held_symbols
2025-04-29,1000000.0,0.0,1000000.0,0.0,0.0,0.0,
2025-04-30,652878.01,341952.0,994830.01,-0.517,34.37,-0.517,"600036,600519"
2025-05-06,452243.03,547100.7,999343.73,0.4537,54.75,-0.0656,"600036,600519,688981"
2025-05-07,657060.31,349280.0,1006340.31,0.7001,34.71,0.0,"600036,600519"
2025-05-08,464745.63,547124.0,1011869.63,0.5494,54.07,0.0,"600036,600519,600941"
2025-05-09,267381.43,751877.4,1019258.83,0.7303,73.77,0.0,"300750,600036,600519,600941"
2025-05-12,267381.43,761242.4,1028623.83,0.9188,74.01,0.0,"300750,600036,600519,600941"
2025-05-13,238446.38,791970.0,1030416.38,0.1743,76.86,0.0,"002230,300750,600036,600519,600941"
2025-05-14,242590.88,796658.3,1039249.18,0.8572,76.66,0.0,"002230,300750,600036,600519,600941"
2025-05-15,267636.66,767666.1,1035302.76,-0.3797,74.15,-0.3797,"002230,600036,600519,600941"
2025-05-16,262964.28,766857.1,1029821.38,-0.5294,74.47,-0.9072,"002230,600036,600519,600941"
2025-05-19,262964.28,763071.1,1026035.38,-0.3676,74.37,-1.2715,"002230,600036,600519,600941"
2025-05-20,263528.76,767041.8,1030570.56,0.442,74.43,-0.8351,"002230,600036,600519,600941"
2025-05-21,274393.28,751907.3,1026300.58,-0.4143,73.26,-1.246,"002230,600036,600519,600941"
2025-05-22,269750.91,759516.3,1029267.21,0.2891,73.79,-0.9605,"002230,600036,600519,600941"
2025-05-23,263110.43,759011.1,1022121.53,-0.6942,74.26,-1.6481,"002230,600036,600519,600941"
2025-05-26,233742.33,780236.3,1013978.63,-0.7967,76.95,-2.4316,"002230,300750,600036,600519,600941"
2025-05-27,233742.33,779096.3,1012838.63,-0.1124,76.92,-2.5413,"002230,300750,600036,600519,600941"
2025-05-28,270548.22,738505.2,1009053.42,-0.3737,73.19,-2.9055,"300750,600036,600519,600941"
2025-05-29,270548.22,736538.2,1007086.42,-0.1949,73.14,-3.0948,"300750,600036,600519,600941"
2025-05-30,270548.22,736464.2,1007012.42,-0.0073,73.13,-3.1019,"300750,600036,600519,600941"
2025-06-03,270548.22,740260.2,1010808.42,0.377,73.23,-2.7367,"300750,600036,600519,600941"
2025-06-04,270548.22,740627.2,1011175.42,0.0363,73.24,-2.7014,"300750,600036,600519,600941"
2025-06-05,270548.22,744026.2,1014574.42,0.3361,73.33,-2.3743,"300750,600036,600519,600941"
2025-06-06,270548.22,742831.0,1013379.22,-0.1178,73.3,-2.4893,"300750,600036,600519,600941"
2025-06-09,274697.72,730519.3,1005217.02,-0.8054,72.67,-3.2747,"300750,600036,600519,600941"
2025-06-10,274697.72,725975.3,1000673.02,-0.452,72.55,-3.7119,"300750,600036,600519,600941"
2025-06-11,274697.72,735524.3,1010222.02,0.9543,72.81,-2.7931,"300750,600036,600519,600941"
2025-06-12,272055.58,732577.0,1004632.58,-0.5533,72.92,-3.3309,"002230,600036,600519,600941"
2025-06-13,272055.58,729845.0,1001900.58,-0.2719,72.85,-3.5938,"002230,600036,600519,600941"
2025-06-16,276806.78,729099.0,1005905.78,0.3998,72.48,-3.2084,"002230,600036,600519,600941"
2025-06-17,276286.7,729571.3,1005858.0,-0.0047,72.53,-3.213,"002230,600036,600519,600941"
2025-06-18,276286.7,728773.3,1005060.0,-0.0793,72.51,-3.2898,"002230,600036,600519,600941"
2025-06-19,244728.1,756094.6,1000822.7,-0.4216,75.55,-3.6975,"002230,600036,600519,600941,688981"
2025-06-20,240040.71,759813.6,999854.31,-0.0968,75.99,-3.7907,"002230,600036,600519,600941,688981"
2025-06-23,240040.71,763938.6,1003979.31,0.4126,76.09,-3.3938,"002230,600036,600519,600941,688981"
2025-06-24,240040.71,771918.6,1011959.31,0.7948,76.28,-2.6259,"002230,600036,600519,600941,688981"
2025-06-25,415392.31,603248.0,1018640.31,0.6602,59.22,-1.9831,"002230,600036,600941"
2025-06-26,623727.14,397356.3,1021083.44,0.2398,38.92,-1.748,"600036,600941"
2025-06-27,623727.14,387870.3,1011597.44,-0.929,38.34,-2.6607,"600036,600941"
2025-06-30,619408.24,391633.0,1011041.24,-0.055,38.74,-2.7143,"600036,600941"
2025-07-01,615106.35,398294.7,1013401.05,0.2334,39.3,-2.4872,"600036,600941"
2025-07-02,619465.64,394815.0,1014280.64,0.0868,38.93,-2.4026,"600036,600941"
2025-07-03,225623.23,794336.6,1019959.83,0.5599,77.88,-1.8561,"300750,600036,600941,688981"
2025-07-04,240649.73,784180.0,1024829.73,0.4775,76.52,-1.3875,"300750,600036,600941,688981"
2025-07-07,240649.73,781270.0,1021919.73,-0.2839,76.45,-1.6675,"300750,600036,600941,688981"
2025-07-08,215350.05,812783.2,1028133.25,0.608,79.05,-1.0696,"300750,600036,600941,688981"
2025-07-09,257464.07,773802.7,1031266.77,0.3048,75.03,-0.7681,"300750,600036,600519,600941,688981"
2025-07-10,244477.76,790366.4,1034844.16,0.3469,76.38,-0.4239,"300750,600036,600519,600941,688981"
2025-07-11,248994.89,788704.7,1037699.59,0.2759,76.01,-0.1491,"300750,600036,600519,600941,688981"
2025-07-14,253340.0,781430.4,1034770.4,-0.2823,75.52,-0.431,"300750,600036,600519,600941,688981"
2025-07-15,257806.18,773530.7,1031336.88,-0.3318,75.0,-0.7613,"300750,600036,600519,600941,688981"
2025-07-16,253374.22,774946.4,1028320.62,-0.2925,75.36,-1.0516,"300750,600036,600519,600941,688981"
2025-07-17,253374.22,776952.4,1030326.62,0.1951,75.41,-0.8586,"300750,600036,600519,600941,688981"
2025-07-18,253374.22,782013.4,1035387.62,0.4912,75.53,-0.3716,"300750,600036,600519,600941,688981"
2025-07-21,253374.22,787237.4,1040611.62,0.5045,75.65,0.0,"300750,600036,600519,600941,688981"
2025-07-22,358002.19,685968.5,1043970.69,0.3228,65.71,0.0,"002230,300750,600036,600941,688981"
2025-07-23,250590.14,795028.6,1045618.74,0.1579,76.03,0.0,"002230,300750,600036,600941,688981"
2025-07-24,255000.37,794422.9,1049423.27,0.3639,75.7,0.0,"002230,300750,600036,600941,688981"
2025-07-25,227736.84,828695.8,1056432.64,0.6679,78.44,0.0,"002230,300750,600036,600941,688981"
2025-07-28,360703.08,690523.2,1051226.28,-0.4928,65.69,-0.4928,"002230,300750,600036,600941,688981"
2025-07-29,360703.08,691290.2,1051993.28,0.073,65.71,-0.4202,"002230,300750,600036,600941,688981"
2025-07-30,389095.05,653911.0,1043006.05,-0.8543,62.69,-1.2709,"002230,300750,600036,600941,688981"
2025-07-31,361783.74,673297.2,1035080.94,-0.7598,65.05,-2.0211,"002230,300750,600036,600941,688981"
2025-08-01,366123.05,665102.5,1031225.55,-0.3725,64.5,-2.3861,"002230,300750,600036,600941,688981"
2025-08-04,234200.96,806001.8,1040202.76,0.8705,77.49,-1.5363,"002230,300750,600036,600941,688981"
2025-08-05,228744.13,813329.4,1042073.53,0.1798,78.05,-1.3592,"002230,300750,600036,600941,688981"
2025-08-06,214631.9,827738.5,1042370.4,0.0285,79.41,-1.3311,"002230,300750,600036,688981"
2025-08-07,223687.75,816151.5,1039839.25,-0.2428,78.49,-1.5707,"002230,300750,600036,688981"
2025-08-08,219287.5,806477.8,1025765.3,-1.3535,78.62,-2.9029,"002230,300750,600036,688981"
2025-08-11,214928.58,813170.5,1028099.08,0.2275,79.09,-2.682,"002230,300750,600036,688981"
2025-08-12,219818.63,809660.5,1029479.13,0.1342,78.65,-2.5514,"002230,300750,600036,688981"
2025-08-13,214934.14,821770.5,1036704.64,0.7019,79.27,-1.8674,"002230,300750,600036,688981"
2025-08-14,242495.81,797296.4,1039792.21,0.2978,76.68,-1.5752,"002230,300750,600036,600941"
2025-08-15,431578.26,605961.0,1037539.26,-0.2167,58.4,-1.7884,"002230,600036,600941"
2025-08-18,276573.56,764863.6,1041437.16,0.3757,73.44,-1.4194,"002230,600036,600519,600941"
2025-08-19,281544.53,757339.6,1038884.13,-0.2451,72.9,-1.6611,"002230,600036,600519,600941"
2025-08-20,281544.53,763567.6,1045112.13,0.5995,73.06,-1.0716,"002230,600036,600519,600941"
2025-08-21,281544.53,768118.6,1049663.13,0.4355,73.18,-0.6408,"002230,600036,600519,600941"
2025-08-22,281544.53,774783.6,1056328.13,0.635,73.35,-0.0099,"002230,600036,600519,600941"
2025-08-25,703384.26,355437.3,1058821.56,0.236,33.57,0.0,"002230,600519"
2025-08-26,703384.26,353965.3,1057349.56,-0.139,33.48,-0.139,"002230,600519"
2025-08-27,504208.21,550876.3,1055084.51,-0.2142,52.21,-0.3529,"002230,600519,688981"
2025-08-28,310437.11,784807.1,1095244.21,3.8063,71.66,0.0,"002230,300750,600519,688981"
2025-08-29,270426.19,835702.3,1106128.49,0.9938,75.55,0.0,"002230,300750,600519,600941,688981"
2025-09-09,276349.04,813435.7,1089784.74,-1.4776,74.64,-1.4776,"002230,300750,600519,600941,688981"
2025-09-10,281591.07,811236.7,1092827.77,0.2792,74.23,-1.2025,"002230,300750,600519,600941,688981"
2025-09-11,271318.84,840076.7,1111395.54,1.6991,75.59,0.0,"002230,300750,600519,600941,688981"
2025-09-12,282230.8,825599.7,1107830.5,-0.3208,74.52,-0.3208,"002230,300750,600519,600941,688981"
2025-09-15,325481.12,796007.6,1121488.72,1.2329,70.98,0.0,"300750,600519,600941,688981"
2025-09-16,325481.12,795148.6,1120629.72,-0.0766,70.96,-0.0766,"300750,600519,600941,688981"
2025-09-17,325481.12,823332.6,1148813.72,2.515,71.67,0.0,"300750,600519,600941,688981"
2025-09-18,547324.26,602511.1,1149835.36,0.0889,52.4,0.0,"600519,600941,688981"
2025-09-19,559606.84,589939.1,1149545.94,-0.0252,51.32,-0.0252,"600519,600941,688981"
2025-09-22,318381.19,842761.1,1161142.29,1.0088,72.58,0.0,"002230,600519,600941,688981"
2025-09-23,331127.3,824491.1,1155618.4,-0.4757,71.35,-0.4757,"002230,600519,600941,688981"
2025-09-24,325994.69,856490.1,1182484.79,2.3248,72.43,0.0,"002230,600519,600941,688981"
2025-09-25,573675.32,611022.3,1184697.62,0.1871,51.58,0.0,"002230,600519,688981"
2025-09-26,579244.68,593603.3,1172847.98,-1.0002,50.61,-1.0002,"002230,600519,688981"
2025-09-29,573811.92,606909.3,1180721.22,0.6713,51.4,-0.3356,"002230,600519,688981"
2025-09-30,573811.92,621239.3,1195051.22,1.2137,51.98,0.0,"002230,600519,688981"
2025-10-09,593821.68,614026.3,1207847.98,1.0708,50.84,0.0,"002230,600519,688981"
2025-10-10,592005.99,581999.3,1174005.29,-2.8019,49.57,-2.8019,"002230,600519,688981"
2025-10-13,349504.91,844032.7,1193537.61,1.6637,70.72,-1.1848,"002230,300750,600519,688981"
2025-10-14,368771.43,791782.7,1160554.13,-2.7635,68.22,-3.9155,"002230,300750,600519,688981"
2025-10-15,350728.23,828712.7,1179440.93,1.6274,70.26,-2.3519,"002230,300750,600519,688981"
2025-10-16,494336.22,677049.4,1171385.62,-0.683,57.8,-3.0188,"002230,300750,688981"
2025-10-17,494336.22,651066.4,1145402.62,-2.2181,56.84,-5.17,"002230,300750,688981"
2025-10-20,267552.31,884146.3,1151698.61,0.5497,76.77,-4.6487,"002230,300750,600941,688981"
2025-10-21,286708.29,879874.6,1166582.89,1.2924,75.42,-3.4164,"002230,300750,600519,600941,688981"
2025-10-22,299232.63,861908.6,1161141.23,-0.4665,74.23,-3.8669,"002230,300750,600519,600941,688981"
2025-10-23,558844.55,602418.1,1161262.65,0.0105,51.88,-3.8569,"002230,600519,600941"
2025-10-24,558844.55,604096.1,1162940.65,0.1445,51.95,-3.718,"002230,600519,600941"
2025-10-27,792618.0,371543.1,1164161.1,0.1049,31.92,-3.6169,"600519,600941"
2025-10-28,560970.58,603260.0,1164230.58,0.006,51.82,-3.6112,"600036,600519,600941"
2025-10-29,560970.58,595701.0,1156671.58,-0.6493,51.5,-4.237,"600036,600519,600941"
2025-10-30,556984.85,602688.7,1159673.55,0.2595,51.97,-3.9885,"600036,600519,600941"
2025-10-31,561000.49,595800.0,1156800.49,-0.2477,51.5,-4.2263,"600036,600519,600941"
2025-11-03,561000.49,603255.0,1164255.49,0.6444,51.81,-3.6091,"600036,600519,600941"
2025-11-04,790443.42,379887.2,1170330.62,0.5218,32.46,-3.1061,"600036,600519"
2025-11-05,566891.75,600438.6,1167330.35,-0.2564,51.44,-3.3545,"600036,600519,600941"
2025-11-06,562720.92,603502.3,1166223.22,-0.0948,51.75,-3.4462,"600036,600519,600941"
2025-11-07,703651.42,464151.0,1167802.42,0.1354,39.75,-3.3154,"600036,600941"
2025-11-10,703651.42,465745.0,1169396.42,0.1365,39.83,-3.1835,"600036,600941"
