date,symbol,action,shares,price,gross,commission,stamp_tax,transfer_fee,cost,score,reason
2025-04-30,600519,BUY,100,1499.1822,149918.22,44.98,0.0,1.5,46.47,62.97,偏积极观察 / 等待确认
2025-04-30,600036,BUY,5100,38.6463,197096.2,59.13,0.0,1.97,61.1,62.49,偏积极观察 / 等待确认
2025-05-06,688981,BUY,2200,89.4447,196778.34,59.03,0.0,1.97,61.0,58.51,偏积极观察 / 等待确认
2025-05-06,600036,BUY,100,37.9059,3790.59,5.0,0.0,0.04,5.04,57.48,观望
2025-05-07,600036,SELL,100,38.7576,3875.76,5.0,1.94,0.04,6.98,52.89,观望
2025-05-07,688981,SELL,2200,91.4143,201111.39,60.33,100.56,2.01,162.9,43.91,减仓或回避
2025-05-08,600941,BUY,1800,106.8084,192255.08,57.68,0.0,1.92,59.6,63.04,偏积极观察 / 等待确认
2025-05-09,600036,SELL,100,39.7671,3976.71,5.0,1.99,0.04,7.03,54.82,观望
2025-05-09,600941,BUY,100,106.4482,10644.82,5.0,0.0,0.11,5.11,63.06,偏积极观察 / 等待确认
2025-05-09,300750,BUY,800,238.2811,190624.86,57.19,0.0,1.91,59.09,61.03,偏积极观察 / 等待确认
2025-05-13,300750,SELL,200,253.965,50792.99,15.24,25.4,0.51,41.14,49.58,观望
2025-05-13,600036,SELL,1000,41.0565,41056.46,12.32,20.53,0.41,33.26,54.82,观望
2025-05-13,600941,SELL,400,106.6417,42656.66,12.8,21.33,0.43,34.55,63.65,偏积极观察 / 等待确认
2025-05-13,002230,BUY,3400,48.024,163281.6,48.98,0.0,1.63,50.62,58.59,偏积极观察 / 等待确认
2025-05-14,600036,SELL,100,41.5162,4151.62,5.0,2.08,0.04,7.12,54.83,观望
2025-05-15,300750,SELL,600,254.5846,152750.79,45.83,76.38,1.53,123.73,40.9,减仓或回避
2025-05-15,002230,BUY,900,47.6938,42924.45,12.88,0.0,0.43,13.31,58.79,偏积极观察 / 等待确认
2025-05-15,600941,BUY,400,106.9484,42779.38,12.83,0.0,0.43,13.26,54.99,观望
2025-05-15,600036,BUY,1000,41.8379,41837.91,12.55,0.0,0.42,12.97,54.82,观望
2025-05-16,002230,BUY,100,46.6733,4667.33,5.0,0.0,0.05,5.05,58.6,偏积极观察 / 等待确认
2025-05-20,002230,SELL,100,46.8066,4680.66,5.0,2.34,0.05,7.39,58.81,偏积极观察 / 等待确认
2025-05-20,600036,BUY,100,41.0375,4103.75,5.0,0.0,0.04,5.04,61.92,偏积极观察 / 等待确认
2025-05-21,600941,SELL,100,108.7506,10875.06,5.0,5.44,0.11,10.55,64.24,偏积极观察 / 等待确认
2025-05-22,002230,BUY,100,46.3732,4637.32,5.0,0.0,0.05,5.05,58.7,偏积极观察 / 等待确认
2025-05-23,600036,SELL,100,41.4763,4147.63,5.0,2.07,0.04,7.12,61.98,偏积极观察 / 等待确认
2025-05-23,600941,BUY,100,107.7589,10775.89,5.0,0.0,0.11,5.11,72.08,强研究信号 / 等回测确认后分批
