date,cash,stock_value,end_equity,daily_return_pct,exposure_pct,drawdown_pct,held_symbols
2025-04-28,802477.61,200003.5,1002481.11,0.2481,19.95,0.0,600941
2025-04-29,802477.61,201694.5,1004172.11,0.1687,20.09,0.0,600941
2025-04-30,465955.39,531411.0,997366.39,-0.6777,53.28,-0.6777,"600036,600519,600941"
2025-05-06,265320.42,738017.7,1003338.12,0.5987,73.56,-0.0831,"600036,600519,600941,688981"
2025-05-07,455640.0,557060.2,1012700.2,0.9331,55.01,0.0,"600036,600519,600941"
2025-05-08,470190.48,547124.0,1017314.48,0.4556,53.78,0.0,"600036,600519,600941"
2025-05-09,268856.59,755924.1,1024780.69,0.7339,73.76,0.0,"300750,600036,600519,600941"
2025-05-12,272891.21,761242.4,1034133.61,0.9127,73.61,0.0,"300750,600036,600519,600941"
2025-05-13,243956.16,791970.0,1035926.16,0.1733,76.45,0.0,"002230,300750,600036,600519,600941"
2025-05-14,248100.66,796658.3,1044758.96,0.8526,76.25,0.0,"002230,300750,600036,600519,600941"
2025-05-15,273146.44,767666.1,1040812.54,-0.3777,73.76,-0.3777,"002230,600036,600519,600941"
2025-05-16,268474.07,766857.1,1035331.17,-0.5266,74.07,-0.9024,"002230,600036,600519,600941"
2025-05-19,264348.27,767153.8,1031502.07,-0.3698,74.37,-1.2689,"002230,600036,600519,600941"
2025-05-20,264348.27,771762.8,1036111.07,0.4468,74.49,-0.8277,"002230,600036,600519,600941"
2025-05-21,269052.51,762707.8,1031760.31,-0.4199,73.92,-1.2442,"002230,600036,600519,600941"
2025-05-22,264410.14,770299.8,1034709.94,0.2859,74.45,-0.9619,"002230,600036,600519,600941"
2025-05-23,268550.65,759011.1,1027561.75,-0.6908,73.87,-1.646,"002230,600036,600519,600941"
2025-05-26,235100.2,784315.0,1019415.2,-0.7928,76.94,-2.4258,"002230,300750,600036,600519,600941"
2025-05-27,239169.79,779096.3,1018266.09,-0.1127,76.51,-2.5358,"002230,300750,600036,600519,600941"
2025-05-28,275975.68,738505.2,1014480.88,-0.3717,72.8,-2.8981,"300750,600036,600519,600941"
2025-05-29,275975.68,736538.2,1012513.88,-0.1939,72.74,-3.0864,"300750,600036,600519,600941"
2025-05-30,275975.68,736464.2,1012439.88,-0.0073,72.74,-3.0934,"300750,600036,600519,600941"
2025-06-03,275975.68,740260.2,1016235.88,0.3749,72.84,-2.7301,"300750,600036,600519,600941"
2025-06-04,275975.68,740627.2,1016602.88,0.0361,72.85,-2.695,"300750,600036,600519,600941"
