strategy_id,strategy_name,entry_score,exit_score,max_position_pct,max_total_exposure_pct,status,notes,train_total_return_pct,train_annualized_return_pct,train_max_drawdown_pct,train_daily_win_rate_pct,train_sharpe,train_trade_count,train_avg_exposure_pct,train_final_equity,validation_total_return_pct,validation_annualized_return_pct,validation_max_drawdown_pct,validation_daily_win_rate_pct,validation_sharpe,validation_trade_count,validation_avg_exposure_pct,validation_final_equity,test_total_return_pct,test_annualized_return_pct,test_max_drawdown_pct,test_daily_win_rate_pct,test_sharpe,test_trade_count,test_avg_exposure_pct,test_final_equity,train_objective,validation_objective,test_objective,selection_basis,walk_forward_window_count,walk_forward_ok_windows,walk_forward_traded_windows,walk_forward_positive_windows,walk_forward_avg_return_pct,walk_forward_worst_drawdown_pct,walk_forward_windows
grid-e54-x42-p10-t40,参数网格 grid-e54-x42-p10-t40,54.0,42.0,10.0,40.0,ok,,2.5786,6.6259,0.8842,38.0,1.9195,120.0,12.88,1025785.63,0.6441,17.5616,0.2274,70.0,7.5134,12.0,14.98,1006440.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,2.3953,2.3519,-10.0,validation_objective,3,3,2,1,-1.0228,3.9258,"[{'window': 1, 'status': 'ok', 'total_return_pct': 0.4314, 'max_drawdown_pct': 3.9258, 'trade_count': 328.0, 'sharpe': 0.1275}, {'window': 2, 'status': 'ok', 'total_return_pct': -3.4998, 'max_drawdown_pct': 3.669, 'trade_count': 137.0, 'sharpe': -1.9396}, {'window': 3, 'status': 'ok', 'total_return_pct': 0.0, 'max_drawdown_pct': 0.0, 'trade_count': 0.0, 'sharpe': 0.0}]"
grid-e54-x42-p10-t60,参数网格 grid-e54-x42-p10-t60,54.0,42.0,10.0,60.0,ok,,2.5786,6.6259,0.8842,38.0,1.9195,120.0,12.88,1025785.63,0.6441,17.5616,0.2274,70.0,7.5134,12.0,14.98,1006440.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,2.3953,2.3519,-10.0,validation_objective,3,3,2,1,-1.0228,3.9258,"[{'window': 1, 'status': 'ok', 'total_return_pct': 0.4314, 'max_drawdown_pct': 3.9258, 'trade_count': 328.0, 'sharpe': 0.1275}, {'window': 2, 'status': 'ok', 'total_return_pct': -3.4998, 'max_drawdown_pct': 3.669, 'trade_count': 137.0, 'sharpe': -1.9396}, {'window': 3, 'status': 'ok', 'total_return_pct': 0.0, 'max_drawdown_pct': 0.0, 'trade_count': 0.0, 'sharpe': 0.0}]"
grid-e54-x46-p10-t40,参数网格 grid-e54-x46-p10-t40,54.0,46.0,10.0,40.0,ok,,2.1086,5.3991,0.8849,37.0,1.644,104.0,11.09,1021085.86,0.6441,17.5616,0.2274,70.0,7.5134,12.0,14.98,1006440.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.8559,2.3519,-10.0,validation_objective,3,3,2,0,-2.0622,4.8145,"[{'window': 1, 'status': 'ok', 'total_return_pct': -2.0966, 'max_drawdown_pct': 4.8145, 'trade_count': 292.0, 'sharpe': -0.5667}, {'window': 2, 'status': 'ok', 'total_return_pct': -4.0901, 'max_drawdown_pct': 4.2223, 'trade_count': 129.0, 'sharpe': -2.3338}, {'window': 3, 'status': 'ok', 'total_return_pct': 0.0, 'max_drawdown_pct': 0.0, 'trade_count': 0.0, 'sharpe': 0.0}]"
grid-e54-x46-p10-t60,参数网格 grid-e54-x46-p10-t60,54.0,46.0,10.0,60.0,ok,,2.1086,5.3991,0.8849,37.0,1.644,104.0,11.09,1021085.86,0.6441,17.5616,0.2274,70.0,7.5134,12.0,14.98,1006440.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.8559,2.3519,-10.0,validation_objective,0,0,0,0,0.0,0.0,[]
grid-e58-x42-p10-t40,参数网格 grid-e58-x42-p10-t40,58.0,42.0,10.0,40.0,ok,,1.3572,3.4556,0.8849,36.0,1.2902,96.0,10.78,1013572.42,0.5623,15.1776,0.2266,70.0,7.4007,9.0,12.98,1005623.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.0161,2.2425,-10.0,validation_objective,0,0,0,0,0.0,0.0,[]
grid-e58-x42-p10-t60,参数网格 grid-e58-x42-p10-t60,58.0,42.0,10.0,60.0,ok,,1.3572,3.4556,0.8849,36.0,1.2902,96.0,10.78,1013572.42,0.5623,15.1776,0.2266,70.0,7.4007,9.0,12.98,1005623.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.0161,2.2425,-10.0,validation_objective,0,0,0,0,0.0,0.0,[]
grid-e58-x46-p10-t40,参数网格 grid-e58-x46-p10-t40,58.0,46.0,10.0,40.0,ok,,0.7819,1.982,0.8978,31.0,0.8402,81.0,8.68,1007818.51,0.5623,15.1776,0.2266,70.0,7.4007,9.0,12.98,1005623.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.3186,2.2425,-10.0,validation_objective,0,0,0,0,0.0,0.0,[]
grid-e58-x46-p10-t60,参数网格 grid-e58-x46-p10-t60,58.0,46.0,10.0,60.0,ok,,0.7819,1.982,0.8978,31.0,0.8402,81.0,8.68,1007818.51,0.5623,15.1776,0.2266,70.0,7.4007,9.0,12.98,1005623.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.3186,2.2425,-10.0,validation_objective,0,0,0,0,0.0,0.0,[]
grid-e54-x42-p15-t60,参数网格 grid-e54-x42-p15-t60,54.0,42.0,15.0,60.0,ok,,3.7133,9.6233,1.9926,43.0,1.6517,126.0,28.86,1037132.93,0.9314,26.3184,0.6092,50.0,4.8354,15.0,36.45,1009314.37,0.0027,0.0676,0.1467,10.0,0.0467,2.0,3.86,1000026.8,2.6318,1.6833,-0.0956,validation_objective,0,0,0,0,0.0,0.0,[]
grid-e54-x46-p15-t60,参数网格 grid-e54-x46-p15-t60,54.0,46.0,15.0,60.0,ok,,3.1877,8.2287,2.1858,44.0,1.4769,115.0,25.63,1031876.87,0.9314,26.3184,0.6092,50.0,4.8354,15.0,36.45,1009314.37,0.0027,0.0676,0.1467,10.0,0.0467,2.0,3.86,1000026.8,1.9176,1.6833,-0.0956,validation_objective,0,0,0,0,0.0,0.0,[]
grid-e54-x42-p15-t40,参数网格 grid-e54-x42-p15-t40,54.0,42.0,15.0,40.0,ok,,2.6172,6.7272,1.8633,41.0,1.3965,128.0,21.12,1026172.33,0.6484,17.6875,0.3766,50.0,4.8277,16.0,27.88,1006483.73,0.0027,0.0676,0.1467,10.0,0.0467,2.0,3.86,1000026.8,1.5688,1.5729,-0.0956,validation_objective,0,0,0,0,0.0,0.0,[]
grid-e54-x46-p15-t40,参数网格 grid-e54-x46-p15-t40,54.0,46.0,15.0,40.0,ok,,2.5911,6.6588,2.1053,41.0,1.3736,122.0,20.17,1025911.38,0.6484,17.6875,0.3766,50.0,4.8277,16.0,27.88,1006483.73,0.0027,0.0676,0.1467,10.0,0.0467,2.0,3.86,1000026.8,1.3555,1.5729,-0.0956,validation_objective,0,0,0,0,0.0,0.0,[]
grid-e58-x42-p15-t40,参数网格 grid-e58-x42-p15-t40,58.0,42.0,15.0,40.0,ok,,1.0211,2.5933,1.9174,40.0,0.6645,108.0,19.22,1010211.48,0.5436,14.639,0.3773,50.0,4.6979,14.0,27.3,1005436.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-0.2508,1.4351,-10.0,validation_objective,0,0,0,0,0.0,0.0,[]
grid-e58-x46-p15-t40,参数网格 grid-e58-x46-p15-t40,58.0,46.0,15.0,40.0,ok,,0.4768,1.206,2.1204,35.0,0.3315,93.0,17.51,1004768.42,0.5436,14.639,0.3773,50.0,4.6979,14.0,27.3,1005436.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-1.0306,1.4351,-10.0,validation_objective,0,0,0,0,0.0,0.0,[]
grid-e58-x42-p15-t60,参数网格 grid-e58-x42-p15-t60,58.0,42.0,15.0,60.0,ok,,1.7943,4.5834,2.0054,40.0,0.9785,107.0,24.54,1017942.63,0.3255,8.5338,0.6117,50.0,2.3858,13.0,32.14,1003254.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.5349,0.4632,-10.0,validation_objective,0,0,0,0,0.0,0.0,[]
grid-e58-x46-p15-t60,参数网格 grid-e58-x46-p15-t60,58.0,46.0,15.0,60.0,ok,,1.1282,2.8675,2.1204,38.0,0.6933,92.0,20.86,1011281.85,0.3255,8.5338,0.6117,50.0,2.3858,13.0,32.14,1003254.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-0.2888,0.4632,-10.0,validation_objective,0,0,0,0,0.0,0.0,[]
