strategy_id,strategy_name,entry_score,exit_score,score_profile,max_position_pct,max_total_exposure_pct,status,notes,train_total_return_pct,train_annualized_return_pct,train_max_drawdown_pct,train_daily_win_rate_pct,train_sharpe,train_trade_count,train_avg_exposure_pct,train_final_equity,validation_total_return_pct,validation_annualized_return_pct,validation_max_drawdown_pct,validation_daily_win_rate_pct,validation_sharpe,validation_trade_count,validation_avg_exposure_pct,validation_final_equity,test_total_return_pct,test_annualized_return_pct,test_max_drawdown_pct,test_daily_win_rate_pct,test_sharpe,test_trade_count,test_avg_exposure_pct,test_final_equity,train_objective,validation_objective,test_objective,selection_basis,walk_forward_window_count,walk_forward_ok_windows,walk_forward_traded_windows,walk_forward_positive_windows,walk_forward_avg_return_pct,walk_forward_worst_drawdown_pct,walk_forward_windows
grid-trend-e54-x42-p10-t40,参数网格 grid-trend-e54-x42-p10-t40,54.0,42.0,trend,10.0,40.0,ok,,2.3931,6.1407,0.8838,42.0,1.7329,129.0,14.98,1023930.75,0.8693,24.3732,0.2201,70.0,9.1756,16.0,19.99,1008692.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,2.1635,2.9981,-10.0,validation_objective,3,3,2,1,-0.8605,3.8139,"[{'window': 1, 'status': 'ok', 'total_return_pct': 0.3326, 'max_drawdown_pct': 3.8124, 'trade_count': 350.0, 'sharpe': 0.1002}, {'window': 2, 'status': 'ok', 'total_return_pct': -2.9141, 'max_drawdown_pct': 3.8139, 'trade_count': 160.0, 'sharpe': -1.4716}, {'window': 3, 'status': 'ok', 'total_return_pct': 0.0, 'max_drawdown_pct': 0.0, 'trade_count': 0.0, 'sharpe': 0.0}]"
grid-trend-e58-x42-p10-t40,参数网格 grid-trend-e58-x42-p10-t40,58.0,42.0,trend,10.0,40.0,ok,,2.3661,6.0703,0.884,42.0,1.7356,125.0,14.58,1023661.18,0.8693,24.3732,0.2201,70.0,9.1756,16.0,19.99,1008692.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,2.137,2.9981,-10.0,validation_objective,3,3,2,1,-0.8922,3.8956,"[{'window': 1, 'status': 'ok', 'total_return_pct': 0.3198, 'max_drawdown_pct': 3.8921, 'trade_count': 338.0, 'sharpe': 0.0975}, {'window': 2, 'status': 'ok', 'total_return_pct': -2.9965, 'max_drawdown_pct': 3.8956, 'trade_count': 156.0, 'sharpe': -1.5137}, {'window': 3, 'status': 'ok', 'total_return_pct': 0.0, 'max_drawdown_pct': 0.0, 'trade_count': 0.0, 'sharpe': 0.0}]"
grid-trend-e54-x46-p10-t40,参数网格 grid-trend-e54-x46-p10-t40,54.0,46.0,trend,10.0,40.0,ok,,2.2403,5.7421,0.8843,40.0,1.662,115.0,13.08,1022403.28,0.8693,24.3732,0.2201,70.0,9.1756,16.0,19.99,1008692.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.9926,2.9981,-10.0,validation_objective,3,3,2,0,-1.5445,4.4316,"[{'window': 1, 'status': 'ok', 'total_return_pct': -1.412, 'max_drawdown_pct': 4.4316, 'trade_count': 323.0, 'sharpe': -0.3595}, {'window': 2, 'status': 'ok', 'total_return_pct': -3.2215, 'max_drawdown_pct': 4.0184, 'trade_count': 151.0, 'sharpe': -1.6931}, {'window': 3, 'status': 'ok', 'total_return_pct': 0.0, 'max_drawdown_pct': 0.0, 'trade_count': 0.0, 'sharpe': 0.0}]"
grid-trend-e58-x46-p10-t40,参数网格 grid-trend-e58-x46-p10-t40,58.0,46.0,trend,10.0,40.0,ok,,1.7579,4.4894,0.8982,36.0,1.3791,106.0,11.68,1017579.33,0.8693,24.3732,0.2201,70.0,9.1756,16.0,19.99,1008692.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.429,2.9981,-10.0,validation_objective,3,3,2,0,-1.6826,4.3625,"[{'window': 1, 'status': 'ok', 'total_return_pct': -1.8049, 'max_drawdown_pct': 4.3625, 'trade_count': 294.0, 'sharpe': -0.4763}, {'window': 2, 'status': 'ok', 'total_return_pct': -3.2428, 'max_drawdown_pct': 4.0395, 'trade_count': 134.0, 'sharpe': -1.7164}, {'window': 3, 'status': 'ok', 'total_return_pct': 0.0, 'max_drawdown_pct': 0.0, 'trade_count': 0.0, 'sharpe': 0.0}]"
grid-balanced-e54-x42-p10-t40,参数网格 grid-balanced-e54-x42-p10-t40,54.0,42.0,balanced,10.0,40.0,ok,,2.5786,6.6259,0.8842,38.0,1.9195,120.0,12.88,1025785.63,0.6441,17.5616,0.2274,70.0,7.5134,12.0,14.98,1006440.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,2.3953,2.3519,-10.0,validation_objective,0,0,0,0,0.0,0.0,[]
grid-balanced-e54-x46-p10-t40,参数网格 grid-balanced-e54-x46-p10-t40,54.0,46.0,balanced,10.0,40.0,ok,,2.1086,5.3991,0.8849,37.0,1.644,104.0,11.09,1021085.86,0.6441,17.5616,0.2274,70.0,7.5134,12.0,14.98,1006440.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.8559,2.3519,-10.0,validation_objective,0,0,0,0,0.0,0.0,[]
grid-mean_reversion-e54-x42-p10-t40,参数网格 grid-mean_reversion-e54-x42-p10-t40,54.0,42.0,mean_reversion,10.0,40.0,ok,,1.5906,4.0568,0.8841,37.0,1.4412,107.0,11.98,1015905.66,0.6441,17.5616,0.2274,70.0,7.5134,12.0,14.98,1006440.98,-1.0929,-24.1896,1.1378,30.0,-13.9112,14.0,15.89,989070.67,1.2878,2.3519,-5.424,validation_objective,0,0,0,0,0.0,0.0,[]
grid-mean_reversion-e58-x42-p10-t40,参数网格 grid-mean_reversion-e58-x42-p10-t40,58.0,42.0,mean_reversion,10.0,40.0,ok,,1.2668,3.2233,0.8845,34.0,1.1969,95.0,10.88,1012668.5,0.6441,17.5616,0.2274,70.0,7.5134,12.0,14.98,1006440.98,-1.0929,-24.1896,1.1378,30.0,-13.9112,14.0,15.89,989070.67,0.9027,2.3519,-5.424,validation_objective,0,0,0,0,0.0,0.0,[]
grid-mean_reversion-e54-x46-p10-t40,参数网格 grid-mean_reversion-e54-x46-p10-t40,54.0,46.0,mean_reversion,10.0,40.0,ok,,1.2153,3.0908,0.8839,34.0,1.2005,101.0,10.18,1012152.53,0.6441,17.5616,0.2274,70.0,7.5134,12.0,14.98,1006440.98,-0.853,-19.4161,0.8979,20.0,-14.7041,11.0,11.9,991470.27,0.8525,2.3519,-5.2024,validation_objective,0,0,0,0,0.0,0.0,[]
grid-mean_reversion-e58-x46-p10-t40,参数网格 grid-mean_reversion-e58-x46-p10-t40,58.0,46.0,mean_reversion,10.0,40.0,ok,,1.0465,2.6582,0.8843,31.0,1.1251,83.0,8.78,1010465.17,0.6441,17.5616,0.2274,70.0,7.5134,12.0,14.98,1006440.98,-0.853,-19.4161,0.8979,20.0,-14.7041,11.0,11.9,991470.27,0.6645,2.3519,-5.2024,validation_objective,0,0,0,0,0.0,0.0,[]
grid-balanced-e58-x42-p10-t40,参数网格 grid-balanced-e58-x42-p10-t40,58.0,42.0,balanced,10.0,40.0,ok,,1.3572,3.4556,0.8849,36.0,1.2902,96.0,10.78,1013572.42,0.5623,15.1776,0.2266,70.0,7.4007,9.0,12.98,1005623.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.0161,2.2425,-10.0,validation_objective,0,0,0,0,0.0,0.0,[]
grid-balanced-e58-x46-p10-t40,参数网格 grid-balanced-e58-x46-p10-t40,58.0,46.0,balanced,10.0,40.0,ok,,0.7819,1.982,0.8978,31.0,0.8402,81.0,8.68,1007818.51,0.5623,15.1776,0.2266,70.0,7.4007,9.0,12.98,1005623.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.3186,2.2425,-10.0,validation_objective,0,0,0,0,0.0,0.0,[]
