strategy_id,strategy_name,entry_score,exit_score,max_position_pct,max_total_exposure_pct,status,notes,train_total_return_pct,train_annualized_return_pct,train_max_drawdown_pct,train_daily_win_rate_pct,train_sharpe,train_trade_count,train_avg_exposure_pct,train_final_equity,validation_total_return_pct,validation_annualized_return_pct,validation_max_drawdown_pct,validation_daily_win_rate_pct,validation_sharpe,validation_trade_count,validation_avg_exposure_pct,validation_final_equity,test_total_return_pct,test_annualized_return_pct,test_max_drawdown_pct,test_daily_win_rate_pct,test_sharpe,test_trade_count,test_avg_exposure_pct,test_final_equity,train_objective,validation_objective,test_objective,selection_basis
grid-e54-x46-p15-t40,参数网格 grid-e54-x46-p15-t40,54.0,46.0,15.0,40.0,ok,,-0.0342,-0.0862,1.3214,39.0,-0.0398,7.0,9.29,999657.94,-0.0412,-1.0336,0.4582,40.0,-0.4248,1.0,14.08,999587.79,0.0027,0.0676,0.1467,10.0,0.0467,2.0,3.86,1000026.8,-1.0352,-5.491,-0.0956,validation_objective
grid-e54-x46-p15-t60,参数网格 grid-e54-x46-p15-t60,54.0,46.0,15.0,60.0,ok,,-0.0342,-0.0862,1.3214,39.0,-0.0398,7.0,9.29,999657.94,-0.0412,-1.0336,0.4582,40.0,-0.4248,1.0,14.08,999587.79,0.0027,0.0676,0.1467,10.0,0.0467,2.0,3.86,1000026.8,-1.0352,-5.491,-0.0956,validation_objective
grid-e54-x42-p15-t40,参数网格 grid-e54-x42-p15-t40,54.0,42.0,15.0,40.0,ok,,-0.2243,-0.5642,1.3214,39.0,-0.3061,5.0,9.86,997757.23,-0.0412,-1.0336,0.4582,40.0,-0.4248,1.0,14.08,999587.79,0.0027,0.0676,0.1467,10.0,0.0467,2.0,3.86,1000026.8,-1.2919,-5.491,-0.0956,validation_objective
grid-e54-x42-p15-t60,参数网格 grid-e54-x42-p15-t60,54.0,42.0,15.0,60.0,ok,,-0.2243,-0.5642,1.3214,39.0,-0.3061,5.0,9.86,997757.23,-0.0412,-1.0336,0.4582,40.0,-0.4248,1.0,14.08,999587.79,0.0027,0.0676,0.1467,10.0,0.0467,2.0,3.86,1000026.8,-1.2919,-5.491,-0.0956,validation_objective
grid-e58-x46-p15-t40,参数网格 grid-e58-x46-p15-t40,58.0,46.0,15.0,40.0,ok,,-0.1492,-0.3756,1.3214,33.0,-0.2082,7.0,8.17,998508.01,-0.5171,-12.2474,0.5171,20.0,-12.6463,1.0,12.72,994828.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-1.1923,-9.0665,-10.0,validation_objective
grid-e58-x46-p15-t60,参数网格 grid-e58-x46-p15-t60,58.0,46.0,15.0,60.0,ok,,-0.1492,-0.3756,1.3214,33.0,-0.2082,7.0,8.17,998508.01,-0.5171,-12.2474,0.5171,20.0,-12.6463,1.0,12.72,994828.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-1.1923,-9.0665,-10.0,validation_objective
grid-e58-x42-p15-t40,参数网格 grid-e58-x42-p15-t40,58.0,42.0,15.0,40.0,ok,,-0.3393,-0.8528,1.3214,33.0,-0.4752,5.0,8.74,996607.3,-0.5171,-12.2474,0.5171,20.0,-12.6463,1.0,12.72,994828.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-1.4491,-9.0665,-10.0,validation_objective
grid-e58-x42-p15-t60,参数网格 grid-e58-x42-p15-t60,58.0,42.0,15.0,60.0,ok,,-0.3393,-0.8528,1.3214,33.0,-0.4752,5.0,8.74,996607.3,-0.5171,-12.2474,0.5171,20.0,-12.6463,1.0,12.72,994828.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-1.4491,-9.0665,-10.0,validation_objective
grid-e54-x42-p10-t40,参数网格 grid-e54-x42-p10-t40,54.0,42.0,10.0,40.0,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-10.0,-10.0,-10.0,validation_objective
grid-e54-x42-p10-t60,参数网格 grid-e54-x42-p10-t60,54.0,42.0,10.0,60.0,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-10.0,-10.0,-10.0,validation_objective
